COBERTURA_NETA,Casos_Zika,DESERCIÓN,Lluvia-14d-prev,Lluvia-21d-prev,Lluvia-7d-prev,MORTALIDAD_INFANTIL_POR_MIL_NACIDOS,NAME,NBI,POBLACIÓN_5_16,SEDES_CONECTADAS_A_INTERNET,TASA_MATRICULACIÓN_5_16
90.89,0,3.26,15,1,17,15.52,Colombia-Antioquia-Abejorral,33.85,3829,71.43,90.89
65.19,1,2.17,294,0,39,16.0,Colombia-Norte_Santander-Abrego,48.44,9460,7.46,65.19
90.5,0,0.51,3,3,0,17.59,Colombia-Antioquia-Abriaqui,28.54,400,45.45,90.5
116.16,1,4.8,308,0,318,20.77,Colombia-Meta-Acacias,22.68,14688,46.15,116.24
121.28,0,3.37,12,0,2,27.72,Colombia-Choco-Acandi,49.25,2401,22.22,121.28
82.38,0,4.81,16,0,22,30.54,Colombia-Huila-Acevedo,64.1,9048,25.0,82.38
98.45,0,1.07,303,0,13,36.58,Colombia-Bolivar-Achi,80.74,5474,28.77,98.45
87.38,1,5.8,9,0,16,22.45,Colombia-Huila-Agrado,44.92,2338,40.91,87.38
88.21,4,5.53,49,7,58,16.61,Colombia-Cundinamarca-Agua_de_Dios,20.67,2145,0.0,88.21
92.05,12,3.82,179,0,22,19.79,Colombia-Cesar-Aguachica,41.9,22958,49.35,92.19
72.24,0,2.98,465,0,39,19.97,Colombia-Santander-Aguada,41.02,389,12.5,72.24
83.76,0,3.43,15,1,17,14.75,Colombia-Caldas-Aguadas,22.99,4630,23.19,83.76
84.96,3,3.16,145,1,33,19.57,Colombia-Casanare-Aguazul,26.69,9369,27.66,84.96
110.46,0,5.65,234,0,24,25.62,Colombia-Cesar-Agustin_Codazzi,51.44,13647,23.81,110.49
52.53,15,5.38,8,0,46,18.64,Colombia-Huila-Aipe,38.01,6551,50.0,52.53
80.52,0,5.02,49,7,58,15.58,Colombia-Cundinamarca-Alban,25.78,1258,35.71,80.52
31.58,0,0.61,0,5,2,19.19,Colombia-Nariño-Alban,25.78,4706,63.16,31.58
81.8,0,5.66,224,0,45,31.93,Colombia-La_Guajira-Albania,35.03,7062,42.86,82.17
55.38,0,3.21,16,0,22,25.18,Colombia-Caqueta-Albania,35.03,1775,15.38,55.38
49.04,0,0.78,222,0,24,27.22,Colombia-Santander-Albania,35.03,1193,8.0,49.04
45.15,0,4.86,2,0,12,13.04,Colombia-Valle_Del_Cauca-Alcala,25.56,4361,6.25,45.15
128.36,0,1.72,0,5,3,24.27,Colombia-Nariño-Aldana,36.81,1146,36.36,128.36
121.46,0,2.3,1,0,5,18.76,Colombia-Antioquia-Alejandria,33.14,601,93.33,121.46
109.72,0,1.89,75,3,9,26.02,Colombia-Magdalena-Algarrobo,64.65,3787,50.0,109.77
89.43,6,7.61,9,0,16,23.16,Colombia-Huila-Algeciras,49.2,5809,18.64,89.43
58.47,0,0.94,3,0,0,30.86,Colombia-Cauca-Almaguer,88.54,4724,49.23,58.47
77.44,0,0.68,284,2,147,18.14,Colombia-Boyaca-Almeida,37.32,359,0.0,77.44
73.82,2,1.47,51,9,44,26.19,Colombia-Tolima-Alpujarra,39.31,1039,29.41,73.82
63.61,0,3.98,9,0,16,15.38,Colombia-Huila-Altamira,23.58,1091,75.0,63.61
44.67,0,2.38,0,0,9,52.35,Colombia-Choco-Alto_Baudo,97.18,11651,6.25,44.67
68.04,0,1.15,303,0,13,29.69,Colombia-Bolivar-Altos_del_Rosario,68.83,3263,40.0,68.04
86.33,0,4.25,49,7,58,17.56,Colombia-Tolima-Alvarado,45.82,1968,60.0,86.33
71.08,0,4.6,1,0,5,13.84,Colombia-Antioquia-Amaga,27.07,6518,95.83,71.08
96.38,0,6.2,1,0,5,16.3,Colombia-Antioquia-Amalfi,45.29,5248,22.22,96.38
88.52,0,6.55,49,7,58,15.62,Colombia-Tolima-Ambalema,34.39,1394,50.0,88.52
101.73,6,5.94,49,7,58,13.96,Colombia-Cundinamarca-Anapoima,29.98,2488,30.43,101.77
86.94,0,0.37,0,5,2,17.2,Colombia-Nariño-Ancuya,46.14,1394,28.0,86.94
91.01,1,2.77,0,0,10,13.76,Colombia-Valle_Del_Cauca-Andalucia,18.44,3191,19.05,91.54
76.88,0,5.12,15,1,17,13.64,Colombia-Antioquia-Andes,30.49,10115,79.66,76.88
63.94,0,5.17,1,0,5,13.24,Colombia-Antioquia-Angelopolis,25.97,1697,100.0,63.94
82.31,0,2.78,1,0,5,28.6,Colombia-Antioquia-Angostura,55.16,2826,82.86,82.31
109.36,0,2.25,49,7,58,16.2,Colombia-Cundinamarca-Anolaima,26.86,2362,31.43,109.4
93.96,0,4.73,0,5,6,23.07,Colombia-Antioquia-Anori,48.14,3891,27.12,93.96
84.33,0,5.09,15,1,17,9.89,Colombia-Caldas-Anserma,19.08,6792,19.7,84.41
73.52,0,8.55,2,0,12,20.52,Colombia-Valle_Del_Cauca-Ansermanuevo,30.97,4090,28.89,73.52
86.84,0,5.29,1,0,5,15.99,Colombia-Antioquia-Anza,51.34,1755,61.11,86.84
43.03,0,5.9,2,0,12,30.37,Colombia-Tolima-Anzoategui,100.0,4827,32.43,43.03
62.12,4,5.27,6,0,0,13.76,Colombia-Antioquia-Apartado,24.53,47694,45.31,62.16
51.69,0,5.77,15,1,17,19.3,Colombia-Risaralda-Apia,24.34,4241,21.43,51.69
77.33,3,2.81,49,7,58,13.49,Colombia-Cundinamarca-Apulo,37.59,1535,12.5,77.33
85.98,0,4.21,145,1,33,21.44,Colombia-Boyaca-Aquitania,42.76,3922,17.5,86.05
83.08,2,1.13,75,3,9,18.46,Colombia-Magdalena-Aracataca,61.4,11121,27.45,83.16
83.78,0,5.22,15,1,17,16.99,Colombia-Caldas-Aranzazu,20.34,2491,21.62,83.78
91.31,0,1.2,465,0,39,20.25,Colombia-Santander-Aratoca,49.2,1750,31.82,91.31
66.62,8,3.74,218,0,1,27.3,Colombia-Arauca-Arauca,33.73,25885,45.65,66.71
67.41,1,2.95,330,0,9,25.74,Colombia-Arauca-Arauquita,41.48,11882,35.64,67.41
66.78,0,4.0,49,7,58,13.78,Colombia-Cundinamarca-Arbelaez,25.25,2938,26.92,66.78
95.67,0,2.16,0,5,2,31.61,Colombia-Nariño-Arboleda,81.83,1455,29.63,95.67
75.2,0,0.62,294,0,39,13.27,Colombia-Norte_Santander-Arboledas,52.01,2081,9.3,75.2
73.82,2,1.89,13,2,0,23.67,Colombia-Antioquia-Arboletes,72.4,11125,75.71,73.82
96.92,0,0.53,222,0,24,15.56,Colombia-Boyaca-Arcabuco,33.25,1138,20.0,96.92
34.37,3,6.52,179,0,22,20.67,Colombia-Bolivar-Arenal,59.17,5219,26.67,34.37
87.61,1,3.34,0,0,217,34.48,Colombia-Cauca-Argelia,100.0,6330,36.36,87.61
83.11,0,3.69,15,1,17,20.0,Colombia-Antioquia-Argelia,100.0,2190,25.58,83.11
66.87,0,1.59,0,0,10,17.0,Colombia-Valle_Del_Cauca-Argelia,100.0,1331,19.05,66.87
95.21,0,4.08,185,1,18,18.03,Colombia-Magdalena-Ariguani,59.22,8223,34.29,95.26
81.54,4,3.75,49,0,39,21.6,Colombia-Bolivar-Arjona,58.83,17919,71.88,81.58
74.11,0,3.18,1,0,5,19.59,Colombia-Antioquia-Armenia,39.83,950,100.0,74.11
82.88,1,4.7,2,0,12,10.83,Colombia-Quindio-Armenia,39.83,55140,70.42,82.94
88.74,0,2.45,49,7,58,20.57,Colombia-Tolima-Armero_,32.63,2567,50.0,88.74
53.91,0,1.89,49,0,39,29.51,Colombia-Bolivar-Arroyohondo,67.8,2545,100.0,53.91
83.53,0,3.53,149,0,13,34.84,Colombia-Cesar-Astrea,70.86,5579,86.11,83.53
84.4,1,3.42,8,0,46,38.11,Colombia-Tolima-Ataco,66.43,5751,13.54,84.4
48.5,0,4.2,0,0,9,40.62,Colombia-Choco-Atrato,80.11,2903,41.18,48.5
80.97,0,2.03,0,0,1,24.36,Colombia-Cordoba-Ayapel,61.55,13215,14.77,80.97
0.0,0,0.0,0,0,9,63.16,Colombia-Choco-Bagado,84.49,2361,6.82,0.0
105.2,0,6.22,0,0,11,38.61,Colombia-Choco-Bahia_Solano,30.19,2613,22.22,105.2
90.94,0,9.52,0,1,0,53.7,Colombia-Choco-Bajo_Baudo,78.28,5673,8.7,90.94
88.22,1,6.0,2,0,12,16.99,Colombia-Risaralda-Balboa,28.01,1324,60.0,88.22
58.48,1,1.37,0,0,217,21.78,Colombia-Cauca-Balboa,28.01,6093,53.73,58.48
94.24,1,1.2,75,3,9,17.83,Colombia-Atlantico-Baranoa,26.82,12141,100.0,94.28
62.33,1,5.53,8,0,46,16.72,Colombia-Huila-Baraya,100.0,2230,25.81,62.33
89.6,1,2.74,0,0,63,30.97,Colombia-Nariño-Barbacoas,73.87,11628,30.28,89.6
72.89,0,3.19,1,0,5,12.57,Colombia-Antioquia-Barbosa,18.8,11076,60.87,72.89
92.96,2,3.17,222,0,24,11.9,Colombia-Santander-Barbosa,18.8,5940,7.69,93.0
87.42,1,2.31,465,0,39,14.55,Colombia-Santander-Barichara,30.99,1526,35.0,87.42
131.84,0,0.49,202,0,55,26.64,Colombia-Meta-Barranca_de_Upia,40.21,1024,25.0,131.84
119.38,2,4.25,294,0,39,14.19,Colombia-Santander-Barrancabermeja,22.33,38851,72.22,119.59
66.57,0,2.77,237,0,62,27.34,Colombia-La_Guajira-Barrancas,54.15,9533,32.0,66.59
77.4,0,5.25,303,0,13,29.34,Colombia-Bolivar-Barranco_de_Loba,74.54,4952,21.05,77.4
115.14,0,9.49,104,83,10,40.58,Colombia-Guainia-Barranco_Minas,100.0,1420,30.77,115.14
93.18,86,1.54,75,3,9,14.72,Colombia-Atlantico-Barranquilla,17.72,242365,90.43,93.35
135.32,0,4.11,149,0,13,23.94,Colombia-Cesar-Becerril,56.51,3715,14.0,135.42
84.65,0,5.13,2,0,12,17.37,Colombia-Caldas-Belalcazar,28.78,2299,32.26,84.65
76.47,0,2.67,0,5,2,20.31,Colombia-Nariño-Belen,31.06,1330,42.86,76.47
105.43,0,1.02,145,1,33,13.66,Colombia-Boyaca-Belen,31.06,1528,16.67,105.63
69.75,2,3.39,16,0,22,22.08,Colombia-Caqueta-Belen_de_los_Andaquies,47.83,3438,17.02,69.75
75.0,2,5.63,15,1,17,16.82,Colombia-Risaralda-Belen_de_Umbria,24.07,6068,27.87,75.0
81.27,6,3.29,1,0,5,9.21,Colombia-Antioquia-Bello,10.58,92140,93.55,81.33
89.36,0,3.33,1,0,5,20.51,Colombia-Antioquia-Belmira,29.05,1636,92.86,89.36
82.32,0,3.03,49,7,58,19.17,Colombia-Cundinamarca-Beltran,33.86,475,30.0,82.32
53.75,0,0.66,222,0,24,14.53,Colombia-Boyaca-Berbeo,36.12,547,14.29,53.75
86.57,0,4.37,15,1,17,19.12,Colombia-Antioquia-Betania,31.25,2181,85.19,86.57
59.13,0,0.0,145,1,33,21.84,Colombia-Boyaca-Beteitiva,64.02,482,25.0,59.13
88.2,0,7.96,1,0,5,19.59,Colombia-Antioquia-Betulia,43.21,4153,36.59,88.2
96.48,0,1.99,465,0,39,23.82,Colombia-Santander-Betulia,43.21,1192,12.5,96.48
71.55,0,1.53,49,7,58,15.06,Colombia-Cundinamarca-Bituima,32.09,573,14.29,71.55
72.39,0,3.31,181,15,258,16.56,Colombia-Boyaca-Boavita,52.88,1398,20.0,72.39
82.41,0,6.5,294,0,39,15.08,Colombia-Norte_Santander-Bochalema,29.31,1603,16.67,82.41
81.77,0,3.63,49,7,58,13.4,Colombia-Bogota_d_C.-Bogota_D.C.,9.2,1455309,98.87,82.2
63.74,0,5.04,49,7,58,14.66,Colombia-Cundinamarca-Bojaca,20.78,2959,41.67,63.74
106.99,0,0.93,3,3,0,52.54,Colombia-Choco-Bojaya,96.03,2991,16.33,106.99
68.15,0,1.86,3,0,0,21.82,Colombia-Cauca-Bolivar,30.37,9378,36.36,68.15
92.82,0,3.33,0,0,10,21.0,Colombia-Valle_Del_Cauca-Bolivar,30.37,2787,18.52,92.82
78.34,0,4.35,222,0,24,40.03,Colombia-Santander-Bolivar,30.37,2802,13.85,78.34
89.74,0,8.08,149,0,13,18.76,Colombia-Cesar-Bosconia,50.2,10541,60.87,89.86
81.96,0,0.44,222,0,24,19.54,Colombia-Boyaca-Boyaca,51.01,1070,25.0,81.96
85.13,0,7.64,0,5,6,26.15,Colombia-Antioquia-Briceño,55.04,2111,42.11,85.13
83.13,0,2.59,222,0,24,16.52,Colombia-Boyaca-Briceño,55.04,575,12.5,83.13
99.89,15,2.93,294,0,39,10.97,Colombia-Santander-Bucaramanga,11.55,95351,95.97,100.12
92.93,0,0.45,294,0,39,23.31,Colombia-Norte_Santander-Bucarasica,64.33,1132,13.79,92.93
83.23,1,2.94,0,0,47,30.69,Colombia-Valle_Del_Cauca-Buenaventura,35.85,94529,33.03,83.49
69.1,1,1.24,34,0,51,16.27,Colombia-Boyaca-Buenavista,61.34,1327,7.69,69.1
90.0,0,8.58,2,0,12,13.84,Colombia-Quindio-Buenavista,61.34,560,0.0,90.0
88.83,0,3.81,301,1,182,20.93,Colombia-Sucre-Buenavista,61.34,2309,18.18,88.91
86.29,0,1.18,0,0,1,26.95,Colombia-Cordoba-Buenavista,61.34,5586,32.5,86.29
66.08,0,1.39,0,0,43,30.19,Colombia-Cauca-Buenos_Aires,57.89,7586,42.19,66.08
74.3,0,0.45,0,5,2,19.19,Colombia-Nariño-Buesaco,58.64,5299,22.22,74.3
95.28,1,1.72,0,0,10,14.22,Colombia-Valle_Del_Cauca-Bugalagrande,21.31,3815,12.2,95.31
114.69,0,5.06,1,0,5,22.99,Colombia-Antioquia-Buritica,70.3,1532,31.03,114.69
0.0,0,4.11,145,1,33,25.44,Colombia-Boyaca-Busbanza,57.97,223,50.0,29.6
85.32,0,3.04,51,9,44,17.05,Colombia-Cundinamarca-Cabrera,40.13,1110,20.0,85.32
59.2,0,0.0,465,0,39,18.39,Colombia-Santander-Cabrera,40.13,527,12.5,59.2
131.57,0,7.92,202,0,55,27.65,Colombia-Meta-Cabuyaro,44.0,963,70.0,131.57
0.0,0,0.0,45,0,51,39.63,Colombia-Guainia-Cacahual,100.0,822,16.67,0.0
76.33,0,2.85,0,5,6,23.53,Colombia-Antioquia-Caceres,66.81,10702,76.92,76.33
55.77,0,3.57,49,7,58,12.98,Colombia-Cundinamarca-Cachipay,21.43,2521,23.08,55.81
77.07,0,2.91,294,0,39,11.23,Colombia-Norte_Santander-Cachira,49.2,2708,7.14,77.07
103.86,0,4.33,294,0,39,25.77,Colombia-Norte_Santander-Cacota,52.8,440,21.43,103.86
81.35,0,6.76,1,0,5,20.39,Colombia-Antioquia-Caicedo,63.85,2086,66.67,81.35
80.4,0,3.34,2,0,12,13.35,Colombia-Valle_Del_Cauca-Caicedonia,15.94,5424,4.88,80.4
104.63,0,1.72,0,0,1,26.81,Colombia-Sucre-Caimito,68.06,2893,37.04,104.63
85.27,0,4.93,2,0,12,19.39,Colombia-Tolima-Cajamarca,28.34,4453,20.51,85.27
75.34,0,2.06,0,0,44,21.27,Colombia-Cauca-Cajibio,63.74,9166,38.61,75.34
102.42,0,2.88,49,7,58,11.44,Colombia-Cundinamarca-Cajica,12.74,12375,23.53,103.86
55.93,0,4.31,130,1,69,29.2,Colombia-Guaviare-Calamar,28.52,2512,12.0,55.93
88.43,0,1.1,75,3,9,29.51,Colombia-Bolivar-Calamar,28.52,5989,62.5,88.53
79.67,0,5.69,2,0,12,13.76,Colombia-Quindio-Calarca,14.46,15331,0.0,79.69
87.15,0,1.34,222,0,24,16.52,Colombia-Boyaca-Caldas,13.02,724,23.08,87.15
82.02,1,2.66,1,0,5,9.34,Colombia-Antioquia-Caldas,13.02,14422,85.19,82.23
97.02,0,3.18,0,0,44,27.64,Colombia-Cauca-Caldono,69.87,8729,57.65,97.02
79.36,17,2.01,0,0,43,9.4,Colombia-Valle_Del_Cauca-Cali,11.01,440855,99.41,79.61
66.97,0,0.64,301,1,182,19.41,Colombia-Santander-California,26.64,442,50.0,66.97
100.9,0,2.46,0,0,43,13.51,Colombia-Valle_Del_Cauca-Calima,0.0,2765,13.64,100.9
0.0,0,1.28,0,0,43,27.17,Colombia-Cauca-Caloto,48.72,3790,51.16,0.0
87.17,0,3.93,1,0,5,21.71,Colombia-Antioquia-Campamento,100.0,2073,34.09,87.17
86.51,0,2.04,75,3,9,28.08,Colombia-Atlantico-Campo_de_la_Cruz,62.86,4455,100.0,86.51
82.69,4,7.74,9,0,16,15.32,Colombia-Huila-Campoalegre,26.67,7752,63.04,82.73
52.71,1,1.93,222,0,24,20.6,Colombia-Boyaca-Campohermoso,44.05,960,14.81,52.71
83.02,0,2.29,13,2,0,31.48,Colombia-Cordoba-Canalete,85.95,5358,17.07,83.02
80.49,2,2.54,3,3,0,27.7,Colombia-Antioquia-Cañasgordas,57.09,4132,49.21,80.49
88.72,0,0.92,75,3,9,15.93,Colombia-Atlantico-Candelaria,14.51,3156,100.0,88.78
102.15,0,3.38,0,0,43,13.37,Colombia-Valle_Del_Cauca-Candelaria,14.51,14072,29.03,102.17
84.36,0,3.17,294,0,39,17.15,Colombia-Bolivar-Cantagallo,61.88,2218,9.38,84.36
64.1,0,2.75,34,0,51,29.55,Colombia-Cundinamarca-Caparrapi,53.9,3401,21.52,64.1
92.85,0,1.17,181,15,258,19.13,Colombia-Santander-Capitanejo,46.27,1091,0.0,92.85
97.41,1,3.5,284,2,147,13.14,Colombia-Cundinamarca-Caqueza,30.34,3515,32.26,97.47
78.36,0,1.43,62,2,23,17.05,Colombia-Antioquia-Caracoli,29.93,1012,53.33,78.36
74.84,0,5.76,15,1,17,15.79,Colombia-Antioquia-Caramanta,25.0,1105,30.0,74.84
79.17,0,0.38,181,15,258,39.21,Colombia-Santander-Carcasi,66.71,960,9.68,79.17
88.34,0,4.35,1,0,5,25.94,Colombia-Antioquia-Carepa,43.17,14593,76.32,88.34
106.49,6,2.45,49,7,58,17.36,Colombia-Tolima-Carmen_de_Apicala,28.69,1802,75.0,106.55
74.04,0,0.51,222,0,24,20.51,Colombia-Cundinamarca-Carmen_de_Carupa,39.19,1830,11.54,74.04
0.0,0,8.26,6,0,0,45.15,Colombia-Choco-Carmen_del_Darien,90.67,1558,15.56,0.0
101.54,0,1.95,1,0,5,16.13,Colombia-Antioquia-Carolina,17.42,714,83.33,101.54
96.39,65,3.19,49,0,39,16.44,Colombia-Bolivar-Cartagena_de_Indias,26.01,212927,95.11,96.55
70.55,0,4.52,83,9,110,22.86,Colombia-Caqueta-Cartagena_del_Chaira,51.57,9724,9.09,70.55
85.59,3,0.93,2,0,12,13.81,Colombia-Valle_Del_Cauca-Cartago,15.69,24003,93.02,85.61
77.24,0,8.86,81,0,94,52.66,Colombia-Vaupes-Caruru,100.0,848,11.11,77.24
77.88,0,3.5,15,1,17,22.88,Colombia-Tolima-Casabianca,32.55,1573,18.52,77.88
128.66,1,2.88,308,0,318,21.4,Colombia-Meta-Castilla_la_Nueva,23.42,2163,100.0,128.66
78.95,5,2.83,0,5,6,19.17,Colombia-Antioquia-Caucasia,52.41,27554,65.57,78.95
90.95,0,1.08,181,15,258,36.31,Colombia-Santander-Cepita,47.9,409,7.69,90.95
98.3,1,2.26,0,0,1,25.04,Colombia-Cordoba-Cerete,50.43,19767,54.72,98.42
82.91,0,1.22,145,1,33,15.49,Colombia-Boyaca-Cerinza,26.02,749,8.33,82.91
85.53,0,0.88,181,15,258,23.14,Colombia-Santander-Cerrito,46.15,1272,11.54,85.53
92.19,0,1.61,75,3,9,22.82,Colombia-Magdalena-Cerro_de_San_Antonio,63.73,1945,44.44,92.19
44.29,0,6.97,0,0,9,39.25,Colombia-Choco-Certegui,87.24,2409,50.0,44.29
78.68,0,0.98,0,5,2,16.7,Colombia-Nariño-Chachagüi,0.0,3016,33.33,78.68
61.48,0,0.37,49,7,58,17.45,Colombia-Cundinamarca-Chaguani,44.09,867,29.41,61.48
93.98,0,1.51,41,5,0,29.52,Colombia-Sucre-Chalan,71.03,1080,44.44,93.98
60.61,1,3.44,145,1,33,24.99,Colombia-Casanare-Chameza,46.35,594,20.0,60.61
94.91,2,2.55,8,0,46,24.93,Colombia-Tolima-Chaparral,47.65,12076,8.23,94.92
101.9,0,2.25,465,0,39,16.08,Colombia-Santander-Charala,24.08,2260,7.5,101.9
81.85,0,0.95,301,1,182,16.0,Colombia-Santander-Charta,32.35,496,21.43,81.85
100.65,0,2.77,49,7,58,10.86,Colombia-Cundinamarca-Chia,7.11,25468,100.0,102.01
114.79,0,5.91,75,3,9,26.07,Colombia-Magdalena-Chivolo,72.25,4693,36.36,114.79
76.52,1,6.4,6,0,0,15.69,Colombia-Antioquia-Chigorodo,40.15,19987,57.45,76.52
82.02,0,0.39,41,5,0,23.1,Colombia-Cordoba-Chima,43.94,3454,42.86,82.02
92.49,0,2.1,465,0,39,22.85,Colombia-Santander-Chima,43.94,519,20.0,92.49
100.87,0,3.76,149,0,13,26.48,Colombia-Cesar-Chimichagua,66.64,8881,45.35,100.89
79.73,1,1.03,294,0,39,12.8,Colombia-Norte_Santander-Chinacota,22.92,3656,25.0,79.73
78.41,0,3.07,222,0,24,22.68,Colombia-Boyaca-Chinavita,35.79,704,45.45,78.41
80.68,1,3.84,2,0,12,16.11,Colombia-Caldas-Chinchina,18.58,10766,33.33,80.69
90.11,0,1.6,41,5,0,26.96,Colombia-Cordoba-Chinu,53.78,10080,51.47,90.15
84.32,0,1.89,49,7,58,15.01,Colombia-Cundinamarca-Chipaque,30.34,1907,28.57,84.43
73.94,0,1.44,465,0,39,16.32,Colombia-Santander-Chipata,41.45,994,21.43,73.94
83.64,0,2.61,222,0,24,11.73,Colombia-Boyaca-Chiquinquira,17.87,15593,17.95,83.69
67.45,0,0.43,222,0,24,26.15,Colombia-Boyaca-Chiquiza,49.0,1312,31.25,67.45
120.75,2,3.98,149,0,13,19.84,Colombia-Cesar-Chiriguana,53.52,5335,54.05,120.88
69.01,0,1.44,222,0,24,23.68,Colombia-Boyaca-Chiscas,69.98,981,21.43,69.01
79.96,0,1.25,181,15,258,33.56,Colombia-Boyaca-Chita,81.22,2595,35.71,79.96
68.51,0,0.17,294,0,39,18.39,Colombia-Norte_Santander-Chitaga,52.59,2496,9.3,68.51
86.72,2,0.95,465,0,39,22.96,Colombia-Boyaca-Chitaraque,47.31,1190,25.0,86.72
0.0,0,4.61,222,0,24,21.52,Colombia-Boyaca-Chivata,49.37,1487,0.0,30.73
87.07,0,5.98,284,2,147,19.48,Colombia-Boyaca-Chivor,34.16,441,18.18,87.07
97.77,0,2.29,284,2,147,17.26,Colombia-Cundinamarca-Choachi,24.31,2380,23.33,97.77
78.41,0,1.84,222,0,24,16.39,Colombia-Cundinamarca-Choconta,39.98,5344,32.35,78.41
114.25,0,4.17,185,1,18,22.6,Colombia-Bolivar-Cicuco,60.88,2723,77.78,114.25
93.39,43,2.48,19,0,3,15.34,Colombia-Magdalena-Cienaga,43.81,26779,33.33,93.76
78.17,1,0.95,0,0,1,32.02,Colombia-Cordoba-Cienaga_de_Oro,61.84,15055,56.67,78.17
95.0,0,2.71,222,0,24,16.31,Colombia-Boyaca-Cienega,29.81,1019,9.09,95.0
68.59,0,6.79,465,0,39,21.16,Colombia-Santander-Cimitarra,45.74,10877,21.21,68.59
